"slokas_no","slokas","slokas(no number)","slokas_english"
"1","अर्जुन उवाचप्रकृतिं पुरुषं चैव क्षेत्रं क्षेत्रज्ञमेव च ।एतद्वेदितुमिच्छामि ज्ञानं ज्ञेयं च केशव ॥ १ ॥","Arjuna said: O Keśava, I wish to know this knowledge and the knower of the field, the knower of the field, the Supreme Personality of Godhead, the Supreme Personality of Godhead.","Arjuna said: O Keśava, I wish to know this knowledge and the knower of the field, the knower of the field, the Supreme Personality of Godhead, the Supreme Personality of Godhead. The Supreme Personality of Godhead, O son of Kunti, is called the field of the Supreme Personality of Godhead. He who knows this is said to be the knower of the field. 2 ॥"
"2","श्रीभगवानुवाचइदं शरीरं कौन्तेय क्षेत्रमित्यभिधीयते ।एतद्यो वेत्ति तं प्राहु: क्षेत्रज्ञ इति तद्विद: ॥ २ ॥","The Supreme Personality of Godhead, O son of Kunti, is called the field of the Supreme Personality of Godhead. He who knows this is said to be the knower of the field.",""
"3","क्षेत्रज्ञं चापि मां विद्धि सर्वक्षेत्रेषु भारत ।क्षेत्रक्षेत्रज्ञयोर्ज्ञानं यत्तज्ज्ञानं मतं मम ॥ ३ ॥","O descendant of Bharata, know Me as the knower of the field and the knowledge of the fields and the fields.  ॥","O descendant of Bharata, know Me as the knower of the field and the knowledge of the fields and the fields. 3 ॥"
"4","तत्क्षेत्रं यच्च‍ यादृक्‍च यद्विकारि यतश्च यत् ।स च यो यत्प्रभावश्च तत्समासेन मे श‍ृणु ॥ ४ ॥","Now please hear from me in brief that the field is the source of all that is in the form of whatever it is, and whatever it is. .","Now please hear from me in brief that the field is the source of all that is in the form of whatever it is, and whatever it is. 4."
"5","ऋषिभिर्बहुधा गीतं छन्दोभिर्विविधै: पृथक् ।ब्रह्मसूत्रपदैश्चैव हेतुमद्भ‍िर्विनिश्चितै: ॥ ५ ॥","The Ṛṣis sang in various ways, and separately from various Vedic mantras, and by the Vedic mantras, the Vedas and the Vedic mantras were determined.  ॥","The Ṛṣis sang in various ways, and separately from various Vedic mantras, and by the Vedic mantras, the Vedas and the Vedic mantras were determined. 5 ॥"
"6","महाभूतान्यहङ्कारो बुद्धिरव्यक्तमेव च ।इन्द्रियाणि दशैकं च पञ्च चेन्द्रियगोचरा: ॥ ६ ॥","The great living beings are the ego, the intellect, the unmanifest, the ten senses, the five senses, and the five senses are perceivable by the senses.","The great living beings are the ego, the intellect, the unmanifest, the ten senses, the five senses, and the five senses are perceivable by the senses. 6. Desire, hatred, happiness, pain, aggregation, consciousness, patience, this field are described in brief in brief. 7 ॥"
"7","इच्छा द्वेष: सुखं दु:खं सङ्घातश्चेतना धृति: ।एतत्क्षेत्रं समासेन सविकारमुदाहृतम् ॥ ७ ॥","Desire, hatred, happiness, pain, aggregation, consciousness, patience, this field are described in brief in brief.",""
"8","अमानित्वमदम्भित्वमहिंसा क्षान्तिरार्जवम् ।आचार्योपासनं शौचं स्थैर्यमात्मविनिग्रह: ॥ ८ ॥","Unmanifest, arrogance, non-violence, forbearance, simplicity, worship of the ācārya, purity, steadfastness and self-control.","Unmanifest, arrogance, non-violence, forbearance, simplicity, worship of the ācārya, purity, steadfastness and self-control. 8. The senses of sense gratification are the sources of detachment, egoism, birth, death, old age, disease, pain and evils. Attachment to his sons, wives, houses, etc. By the practice of exclusive devotion to Me is undisturbed by me and in the assembly of men who served them in a secluded place The eternity of spiritual knowledge is the vision of the meaning of knowledge of the truth and this knowledge is said to be ignorance 12 ॥"
"9","इन्द्रियार्थेषु वैराग्यमनहङ्कार एव च ।जन्ममृत्युजराव्याधिदु:खदोषानुदर्शनम् ॥ ९ ॥","The senses of sense gratification are the sources of detachment, egoism, birth, death, old age, disease, pain and evils.",""
"10","असक्तिरनभिष्वङ्ग: पुत्रदारगृहादिषु ।नित्यं च समचित्तत्वमिष्टानिष्टोपपत्तिषु ॥ १० ॥","Attachment to his sons, wives, houses, etc.",""
