slokas_no,slokas,slokas_english(no number),slokas_english
1,श्रीभगवानुवाचइदं तु ते गुह्यतमं प्रवक्ष्याम्यनसूयवे ।ज्ञानं विज्ञानसहितं यज्ज्ञात्वा मोक्ष्यसेऽश‍ुभात् ॥ १ ॥,"The Supreme Personality of Godhead said: I shall now describe to you the most secret of envy. Knowing this knowledge with knowledge, you will be freed from all knowledge.   ","The Supreme Personality of Godhead said: I shall now describe to you the most secret of envy. Knowing this knowledge with knowledge, you will be freed from all knowledge. 1  "
2,राजविद्या राजगुह्यं पवित्रमिदमुत्तमम् ।प्रत्यक्षावगमं धर्म्यं सुसुखं कर्तुमव्ययम् ॥ २ ॥,The royal knowledge is the secret of the king and is the most sacred and the supreme understanding of the righteous and the pious and the inexhaustible.   ,The royal knowledge is the secret of the king and is the most sacred and the supreme understanding of the righteous and the pious and the inexhaustible. 2  
3,अश्रद्दधाना: पुरुषा धर्मस्यास्य परन्तप ।अप्राप्य मां निवर्तन्ते मृत्युसंसारवर्त्मनि ॥ ३ ॥,O protector of the enemies of the enemy of the enemy of religion the men who are unbelieving in faith return to the path of death and this world.   ,O protector of the enemies of the enemy of the enemy of religion the men who are unbelieving in faith return to the path of death and this world. 3  
4,मया ततमिदं सर्वं जगदव्यक्तमूर्तिना ।मत्स्थानि सर्वभूतानि न चाहं तेष्ववस्थित: ॥ ४ ॥,I pervades this entire universe in the unmanifest form of the universe. I am not present in them. I am not present in them. .,I pervades this entire universe in the unmanifest form of the universe. I am not present in them. I am not present in them. 4.
5,न च मत्स्थानि भूतानि पश्य मे योगमैश्वरम् ।भूतभृन्न च भूतस्थो ममात्मा भूतभावन: ॥ ५ ॥,"Behold the Supreme Personality of Godhead, who is the Supreme Personality of Godhead, who is in all living entities, who is in all living entities.   ","Behold the Supreme Personality of Godhead, who is the Supreme Personality of Godhead, who is in all living entities, who is in all living entities. 5  "
6,यथाकाशस्थितो नित्यं वायु: सर्वत्रगो महान् ।तथा सर्वाणि भूतानि मत्स्थानीत्युपधारय ॥ ६ ॥,Just understand that the air is always omnipresent in the sky and is omnipresent in all living entities.   ,Just understand that the air is always omnipresent in the sky and is omnipresent in all living entities. 6  
7,सर्वभूतानि कौन्तेय प्रकृतिं यान्ति मामिकाम् ।कल्पक्षये पुनस्तानि कल्पादौ विसृजाम्यहम् ॥ ७ ॥,"O son of Kunti, at the end of a kalpa, I shall now release all living beings in the beginning of the kalpa.   ","O son of Kunti, at the end of a kalpa, I shall now release all living beings in the beginning of the kalpa. 7  "
8,प्रकृतिं स्वामवष्टभ्य विसृजामि पुन: पुन: ।भूतग्राममिमं कृत्स्नमवशं प्रकृतेर्वशात् ॥ ८ ॥,I again and again give up my own nature and release this entire village of living entities under the control of nature.   ,I again and again give up my own nature and release this entire village of living entities under the control of nature. 8  
9,न च मां तानि कर्माणि निबध्‍नन्ति धनञ्जय ।उदासीनवदासीनमसक्तं तेषु कर्मसु ॥ ९ ॥,"O Arjuna, they do not bind Me, O Arjuna, as if they were indifferent and unattached to those activities. .","O Arjuna, they do not bind Me, O Arjuna, as if they were indifferent and unattached to those activities. 9."
10,मयाध्यक्षेण प्रकृति: सूयते सचराचरम् ।हेतुनानेन कौन्तेय जगद्विपरिवर्तते ॥ १० ॥,"O son of Kunti, by the cause of this cause, nature is born of Me, O son of Kunti. .","O son of Kunti, by the cause of this cause, nature is born of Me, O son of Kunti. 10."
11,अवजानन्ति मां मूढा मानुषीं तनुमाश्रितम् ।परं भावमजानन्तो मम भूतमहेश्वरम् ॥ ११ ॥,"Fools despise Me, the Supreme Personality of Godhead, who does not know the Supreme Being, the Supreme Personality of Godhead, who takes refuge in the human form. .","Fools despise Me, the Supreme Personality of Godhead, who does not know the Supreme Being, the Supreme Personality of Godhead, who takes refuge in the human form. 11."
12,मोघाशा मोघकर्माणो मोघज्ञाना विचेतस: ।राक्षसीमासुरीं चैव प्रकृतिं मोहिनीं श्रिता: ॥ १२ ॥,They were in vain and were deluded by the knowledge of the deceased and became deluded by the demoniac nature of the demon.   ,They were in vain and were deluded by the knowledge of the deceased and became deluded by the demoniac nature of the demon. 12  
