,slokas_no,slokas,slokas(no number),slokas_english
0,1.0,श्रीभगवानुवाचपरं भूय: प्रवक्ष्यामि ज्ञानानां ज्ञानमुत्तमम् । ‍‍ ॥यज्ज्ञात्वा मुनय: सर्वे परां सिद्धिमितो गता: ॥ १ ॥,"The Supreme Personality of Godhead said: I shall now describe the supreme knowledge of knowledge. Knowing this, all the sages attained supreme perfection.  ॥","The Supreme Personality of Godhead said: I shall now describe the supreme knowledge of knowledge. Knowing this, all the sages attained supreme perfection. 1 ॥"
1,2.0,इदं ज्ञानमुपाश्रित्य मम साधर्म्यमागता: ।सर्गेऽपि नोपजायन्ते प्रलये न व्यथन्ति च ॥ २ ॥,Those who have attained to My equality of knowledge are not born in creation and are not disturbed by the creation of the universe.  ॥,Those who have attained to My equality of knowledge are not born in creation and are not disturbed by the creation of the universe. 2 ॥
2,3.0,मम योनिर्महद्‍ब्रह्म तस्मिन्गर्भं दधाम्यहम् ।सम्भव: सर्वभूतानां ततो भवति भारत ॥ ३ ॥,"O descendant of Bharata, I am the source of all living entities, the great Brahman, the great Brahman.  ॥","O descendant of Bharata, I am the source of all living entities, the great Brahman, the great Brahman. 3 ॥"
3,4.0,सर्वयोनिषु कौन्तेय मूर्तय: सम्भवन्ति या: ।तासां ब्रह्म महद्योनिरहं बीजप्रद: पिता ॥ ४ ॥,"O son of Kunti, in all the wombs of the Supreme Personality of Godhead, I am the Supreme Personality of Godhead, who bestows the seeds of the Supreme Personality of Godhead. .","O son of Kunti, in all the wombs of the Supreme Personality of Godhead, I am the Supreme Personality of Godhead, who bestows the seeds of the Supreme Personality of Godhead. 4."
4,5.0,सत्त्वं रजस्तम इति गुणा: प्रकृतिसम्भवा: ।निबध्‍नन्ति महाबाहो देहे देहिनमव्ययम् ॥ ५ ॥,"O mighty-armed one, the modes of material nature, namely modes of nature, modes of nature, modes of nature, are bound by nature, O mighty-armed one.  ॥","O mighty-armed one, the modes of material nature, namely modes of nature, modes of nature, modes of nature, are bound by nature, O mighty-armed one. 5 ॥"
5,6.0,तत्र सत्त्वं निर्मलत्वात्प्रकाशकमनामयम् ।सुखसङ्गेन बध्‍नाति ज्ञानसङ्गेन चानघ ॥ ६ ॥,"O sinless one, the mode of goodness is bound by the association of happiness and knowledge because it is pure and illuminating the illumination.  ॥","O sinless one, the mode of goodness is bound by the association of happiness and knowledge because it is pure and illuminating the illumination. 6 ॥"
6,7.0,रजो रागात्मकं विद्धि तृष्णासङ्गसमुद्भ‍वम् ।तन्निबध्‍नाति कौन्तेय कर्मसङ्गेन देहिनम् ॥ ७ ॥,"O son of Kunti, know that the modes of passion, passion and attachment to thirst are bound by attachment to the embodied soul.  ॥","O son of Kunti, know that the modes of passion, passion and attachment to thirst are bound by attachment to the embodied soul. 7 ॥"
7,8.0,तमस्त्वज्ञानजं विद्धि मोहनं सर्वदेहिनाम् ।प्रमादालस्यनिद्राभिस्तन्निबध्‍नाति भारत ॥ ८ ॥,"O descendant of Bharata, know that darkness is the source of ignorance, which is deluded by all embodied beings.  ॥","O descendant of Bharata, know that darkness is the source of ignorance, which is deluded by all embodied beings. 8 ॥"
8,9.0,सत्त्वं सुखे सञ्जयति रज: कर्मणि भारत ।ज्ञानमावृत्य तु तम: प्रमादे सञ्जयत्युत ॥ ९ ॥,"O descendant of Bharata, the modes of goodness in the mode of goodness are confused with the mode of goodness in the mode of goodness. .","O descendant of Bharata, the modes of goodness in the mode of goodness are confused with the mode of goodness in the mode of goodness. 9."
9,10.0,रजस्तमश्चाभिभूय सत्त्वं भवति भारत ।रज: सत्त्वं तमश्चैव तम: सत्त्वं रजस्तथा ॥ १० ॥,"O descendant of Bharata, the mode of passion, modesty, modesty, darkness, modesty and modes of nature are overcome by the modes of passion and darkness. .","O descendant of Bharata, the mode of passion, modesty, modesty, darkness, modesty and modes of nature are overcome by the modes of passion and darkness. 10."
