,slokas_no,slokas,slokas_english(NO NUMBERS),slokas_english
0,1.0,सञ्जय उवाचतं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् ।विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ॥ १ ॥,Sanjaya addressed him who was thus overwhelmed with tears and his eyes filled with tears and spoke these words to him in depression   ,Sanjaya addressed him who was thus overwhelmed with tears and his eyes filled with tears and spoke these words to him in depression 1  
1,2.0,श्री भगवानुवाचकुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् ।अनार्यजुष्टमस्वर्ग्यकीर्तिकरमर्जुन ॥ २ ॥,"The Supreme Personality of Godhead said: O Arjuna, where is this fatigue of You? O Arjuna, the ignorant and the unemployed by the ignorant and the reputation of heavenly reputation.   ","The Supreme Personality of Godhead said: O Arjuna, where is this fatigue of You? O Arjuna, the ignorant and the unemployed by the ignorant and the reputation of heavenly reputation. 2  "
2,3.0,क्ल‍ैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते ।क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ॥ ३ ॥,"O son of Pṛthā, do not become absorbed in this world. O Arjuna, give up the weakness of the heart and the weakness of the heart.   ","O son of Pṛthā, do not become absorbed in this world. O Arjuna, give up the weakness of the heart and the weakness of the heart. 3  "
3,4.0,अर्जुन उवाचकथं भीष्ममहं संख्ये द्रोणं च मधुसूदन ।इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन ॥ ४ ॥,"Arjuna said: O destroyer of Madhu, O destroyer of the gods, how can I fight with arrows at Bhīṣma and Drona in battle? .","Arjuna said: O destroyer of Madhu, O destroyer of the gods, how can I fight with arrows at Bhīṣma and Drona in battle? 4."
4,5.0,गुरूनहत्वा हि महानुभावान्श्रेयो भोक्तुं भैक्ष्यमपीह लोके ।हत्वार्थकामांस्तु गुरूनिहैवभुज्ज‍ीय भोगान्‍रुधिरप्रदिग्धान् ॥ ५ ॥,"In this world, in this world, one should enjoy the pleasures of almsgiving and enjoying the pleasures of the spiritual master.   ","In this world, in this world, one should enjoy the pleasures of almsgiving and enjoying the pleasures of the spiritual master. 5  "
5,6.0,न चैतद्विद्मः कतरन्नो गरीयोयद्वा जयेम यदि वा नो जयेयुः ।यानेव हत्वा न जिजीविषाम-स्तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः ॥ ६ ॥,"We do not know which of us is better than us, whether we shall conquer us or we shall conquer us.   ","We do not know which of us is better than us, whether we shall conquer us or we shall conquer us. 6  "
6,7.0,कार्पण्यदोषोपहतस्वभावःपृच्छामि त्वां धर्मसम्मूढचेताः ।यच्छ्रेयः स्यान्निश्‍चितं ब्रूहि तन्मेशिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् ॥ ७ ॥,I inquire of the evils of the evils of carnation I ask you with my mind confused with religious principles   ,I inquire of the evils of the evils of carnation I ask you with my mind confused with religious principles 7  
7,8.0,न हि प्रपश्यामि ममापनुद्याद् -यच्छोकमुच्छोषणमिन्द्रियाणाम् ।अवाप्य भूभावसपत्‍नमृद्धंराज्यं सुराणामपि चाधिपत्यम् ॥ ८ ॥,"I do not see any pain that I have absorbed in the senses, and I shall not find myself in the kingdom of the earth, which is the kingdom of the demigods.   ","I do not see any pain that I have absorbed in the senses, and I shall not find myself in the kingdom of the earth, which is the kingdom of the demigods. 8  "
8,9.0,सञ्जय उवाचएवमुक्त्वा हृषीकेशं गुडाकेशः परन्तपः ।न योत्स्य इति गोविन्दामुक्त्वा तूष्णीं बभूव ह ॥ ९ ॥,"Sanjaya said: Having said this, Gudakesha, the tormentor of enemies, said to him, “You will not fight,” said Govinda, “I will not fight.” .","Sanjaya said: Having said this, Gudakesha, the tormentor of enemies, said to him, “You will not fight,” said Govinda, “I will not fight.” 9."
9,10.0,तमुवाच हृषीकेशः प्रहसन्निव भारत ।सेनयोरूभयोर्मध्ये विषीदन्तमिदं वचः ॥ १० ॥,O descendant of Bharata the sage Hrishikesha replied to him as if laughing in the midst of the two armies .,O descendant of Bharata the sage Hrishikesha replied to him as if laughing in the midst of the two armies 10.
